team,ground,postcode,county_fa,latitude,longitude
Bedford Town,The Eyrie,MK44 3LW,Bedfordshire,52.128829,-0.413089
Bromsgrove Sporting,Victoria Ground,B61 0DR,Worcestershire,52.339479,-2.055524
Coalville Town,Mander Cruickshank Solicitors Stadium,LE67 3DA,Leicestershire & Rutland,52.723732,-1.37733
Hednesford Town,Keys Park Stadium,WS12 2DZ,Birmingham,52.697335,-1.989629
Hitchin Town,Top Field,SG5 1NU,Hertfordshire,51.953854,-0.282396
Ilkeston Town,New Manor Ground,DE7 8JF,Derbyshire,52.982362,-1.304356
Kings Langley,Orbital Fasteners Stadium,WD4 8BS,Hertfordshire,51.718802,-0.451088
Leiston,Victory Road,IP16 4DQ,Suffolk,52.20543,1.572783
Mickleover Sports,Station Road,DE3 9FB,Derbyshire,52.921171,-1.54175
Needham Market,Bloomfields,IP6 8DA,Suffolk,52.150863,1.046809
Nuneaton Borough,Liberty Way,CV11 6RR,Birmingham,52.52087,-1.441399
Redditch United,Trico Stadium,B97 4RN,Birmingham,52.305568,-1.951153
Royston Town,Garden Walk,SG8 7HP,Hertfordshire,52.051428,-0.017442
Rushall Olympic,Dales Lane Ground,WS4 1LJ,Staffordshire,52.602098,-1.951793
St. Ives Town,Westwood Road,PE27 6DT,Huntingdonshire,52.328543,-0.082269
Stourbridge,War Memorial Athletic Ground,DY8 4HN,Birmingham,52.463249,-2.150123
Stratford Town,Arden Garages Stadium,CV37 7BZ,Birmingham,52.195786,-1.675183
Tamworth,CR MOT Centre Community Stadium,B77 1AA,Birmingham,52.629023,-1.687035
Beaconsfield Town,Holloways Park,HP9 2SE,Berkshire & Buckinghamshire,51.587846,-0.628195
Bracknell Town,The SB Stadium,GU47 9BJ,Berkshire & Buckinghamshire,51.344538,-0.791498
Chesham United,The Meadow,HP5 1NE,Berkshire & Buckinghamshire,51.698741,-0.613086
Dorchester Town,Avenue Stadium,DT1 2RY,Dorset,50.702744,-2.444262
Gosport Borough,Privett Park,PO12 3SX,Hampshire,50.793639,-1.154512
Hanwell Town,Powerday Stadium,UB6 8TL,Middlesex,51.532269,-0.327574
Harrow Borough,Rogers Family Stadium,HA2 8SS,London,51.558696,-0.372249
Hartley Wintney,Memorial Playing Fields,RG27 8DL,Hampshire,51.30213,-0.902911
Hayes & Yeading United,Skyex Community Stadium,UB4 0SL,Middlesex,51.509788,-0.395011
Hendon,Silver Jubilee Park,NW9 7NE,Middlesex,51.576527,-0.253344
Merthyr Town,Met Coaches Community Stadium,CF47 8RF,Wales,51.749948,-3.378397
Metropolitan Police,Imber Court Sports Club,KT8 0BT,Surrey,51.390687,-0.350039
North Leigh,Eynsham Hall Sports Ground,OX29 6SL,Oxfordshire,51.813387,-1.430001
Plymouth Parkway,Bolitho Park,PL5 3JG,Devon,50.409774,-4.145733
Poole Town,Black Gold Stadium,BH15 3JR,Dorset,50.729201,-1.983491
Salisbury,Raymond McEnhill Stadium,SP4 6PU,Wiltshire,51.104007,-1.786251
Swindon Supermarine,Webbswood Stadium,SN3 4BZ,Wiltshire,51.605255,-1.731782
Tiverton Town,Ian Moorcroft Stadium,EX16 6SG,Devon,50.909247,-3.489093
Truro City,Bolitho Park,PL5 3JG,Cornwall,50.409774,-4.145733
Weston Super Mare,Optima Stadium,BS24 9AA,Somerset,51.332144,-2.955794
Winchester City,Simplyhealth City Ground,SO23 7SR,Hampshire,51.072029,-1.30901
Yate Town,South West Interiors Stadium,BS37 7LE,Gloucestershire,51.549146,-2.436237
AFC Dunstable,Creasey Park,LU6 1BB,Bedfordshire,51.891865,-0.537156
Aylesbury United,The Meadow,HP5 1NE,Berkshire & Buckinghamshire,51.698741,-0.613086
Barton Rovers,Sharpenhoe Road,MK45 4LQ,Bedfordshire,51.962903,-0.428009
Berkhamsted,Broadwater,HP4 2AL,Hertfordshire,51.763747,-0.565964
Biggleswade,The Eyrie,MK44 3LW,Bedfordshire,52.128829,-0.413089
Biggleswade Town,Yvette Brewer Stadium,SG18 9JT,Bedfordshire,52.076839,-0.268
Cirencester Town,Corinium Stadium,GL7 1HS,Gloucestershire,51.716679,-1.94447
Didcot Town,Loop Meadow Stadium,OX11 7GA,Berkshire & Buckinghamshire,51.614551,-1.240306
FC Romania,The Stadium,EN8 8RU,Amateur Alliance,51.69447,-0.042399
Hadley,Brickfield Lane,EN5 3LD,Hertfordshire,51.642631,-0.24299
Harlow Town,The Harlow Arena,CM19 5BE,Essex,51.773138,0.071614
Hertford Town,Hertingfordbury Park,SG13 8EZ,Hertfordshire,51.793076,-0.083869
Highworth Town,Save on Tyres Stadium,SN6 7DD,Wiltshire,51.629244,-1.712874
Kempston Rovers,Hillgrounds Leisure,MK42 8SZ,Bedfordshire,52.12699,-0.489902
Kidlington,Yarnton Road,OX5 1AT,Oxfordshire,51.819329,-1.28798
Thame United,ASM Stadium,OX9 3RN,Oxfordshire,51.755598,-0.975359
Waltham Abbey,Capershotts,EN9 1NX,Essex,51.682322,0.00237
Walthamstow,Matchday Centre,E17 4JP,Essex,51.596643,-0.009356
Ware,Wodson Park,SG12 0UQ,Hertfordshire,51.824343,-0.033653
Welwyn Garden City,Herns Way,AL7 1TA,Hertfordshire,51.805517,-0.177856
AFC Totton,Millers Park,SO40 2RW,Hampshire,50.936978,-1.511366
Bashley,Glen Mex Stadium,BH25 5RY,Hampshire,50.772938,-1.658439
Bideford,Sports Ground,EX39 2NG,Devon,51.02102,-4.207674
Bishop's Cleeve,Kayte Lane,GL52 3PD,Gloucestershire,51.932363,-2.055992
Bristol Manor Farm,The Creek,BS9 2HS,Gloucestershire,51.482589,-2.649875
Cinderford Town,Causeway Ground,GL14 2QH,Gloucestershire,51.827463,-2.494889
Evesham United,Spiers & Hartwell Jubilee Stadium,WR11 2LZ,Worcestershire,52.073072,-1.954769
Exmouth Town,King George V Ground,EX8 3EE,Devon,50.626577,-3.412914
Frome Town,Badgers Hill,BA11 2EH,Somerset,51.235289,-2.310323
Hamworthy United,Specsavers County Ground,BH15 4BF,Dorset,50.714499,-2.002327
Larkhall Athletic,Plain Ham,BA1 8DJ,Somerset,51.402155,-2.349633
Lymington Town,Sports Ground,SO41 9ZG,Hampshire,50.76047,-1.546359
Melksham Town,infiLED Arena at Oakfield,SN12 7GU,Wiltshire,51.380121,-2.105324
Paulton Rovers,Athletic Ground,BS39 7RF,Somerset,51.302719,-2.497757
Sholing,Mackoy Stadium,SO19 9PW,Hampshire,50.891775,-1.338442
Slimbridge,Thornhill Park,GL2 7AF,Gloucestershire,51.722132,-2.367428
Tavistock AFC,Langsford Park,PL19 8JR,Devon,50.533964,-4.155584
Westbury United,Meadow Lane,BA13 3AF,Wiltshire,51.263806,-2.188314
Willand Rovers,Stan Robinson Stadium,EX15 2RG,Devon,50.889709,-3.370588
Wimborne Town,New Cuthbury,BH21 2FU,Dorset,50.796066,-1.965079
Ascot United,Ascot Racecourse,SL5 7LJ,Berkshire & Buckinghamshire,51.416452,-0.667428
Broadfields United,Tithe Farm Sports & Social Club,HA2 0XH,Middlesex,51.570908,-0.365052
Burnham,1878 Stadium,SL1 8JG,Berkshire & Buckinghamshire,51.538287,-0.666814
Chalfont St. Peter,Mill Meadow,SL9 9QX,Berkshire & Buckinghamshire,51.61073,-0.557397
Edgware & Kingsbury,Silver Jubilee Park,NW9 7NE,Middlesex,51.576527,-0.253344
Egham Town,Runnymede Stadium,TW20 8XD,Surrey,51.427428,-0.532371
Flackwell Heath,Wilks Park,HP10 9EA,Berkshire & Buckinghamshire,51.603635,-0.713116
Harefield United,Preston Park,UB9 6NE,Middlesex,51.602942,-0.477812
Hilltop,Middlesex Stadium,HA4 7SB,Middlesex,51.586843,-0.43991
Holyport,Summerleaze Road,SL6 8SP,Berkshire & Buckinghamshire,51.53459,-0.714227
London Lions,Rowley Lane,EN5 3HW,Middlesex,51.654349,-0.24512
North Greenford United,Berkeley Fields,UB6 0NX,Middlesex,51.548463,-0.338894
Oxhey Jets,Altham Way,WD19 6FW,Hertfordshire,51.619464,-0.383885
Reading City,The Rivermoor,RG30 6AY,Berkshire & Buckinghamshire,51.466166,-1.014669
Spelthorne Sports,Staines Road West,TW15 1RY,Surrey,51.421919,-0.442094
Virginia Water,Stag Meadow,SL4 3DR,Surrey,51.470867,-0.620374
Wallingford & Crowmarsh,Wallingford Sports Park,OX10 9RB,Berkshire & Buckinghamshire,51.598622,-1.140519
Wembley,Vale Farm,HA0 3HG,Middlesex,51.558214,-0.316409
Windsor,Stag Meadow,SL4 3DR,Berkshire & Buckinghamshire,51.470867,-0.620374
Wokingham & Emmbrook,Emmbrook Sports & Social Club,RG41 1JB,Berkshire & Buckinghamshire,51.423086,-0.857173
Abbey Rangers,Addlestone Moor,KT15 2QH,Surrey,51.382324,-0.489352
AFC Croydon Athletic,Mayfield Stadium,CR7 6DN,Kent,51.396051,-0.123206
Alton,The Enclosure,GU34 2NB,Hampshire,51.158096,-0.96649
Badshot Lea,Operatix Community Ground,GU10 4PF,Surrey,51.196662,-0.821847
Balham,Mayfield Stadium,CR7 6DN,Surrey,51.396051,-0.123206
Banstead Athletic,Merland Rise,KT20 5JG,Surrey,51.302822,-0.234205
Camberley Town,Krooner Park,GU15 2QW,Surrey,51.325783,-0.756541
Cobham,Reg Madgwick Stadium,KT11 1AA,Surrey,51.329519,-0.41377
Colliers Wood United,Wibbandune Stadium,SW20 0AA,Surrey,51.421079,-0.253638
Farnham Town,Memorial Ground,GU9 7DY,Surrey,51.212316,-0.805473
Fleet Town,Calthorpe Park,GU51 5FA,Hampshire,51.27586,-0.849976
Frimley Green,Frimley Green Recreation Ground,GU16 6JY,Surrey,51.307038,-0.730108
Guildford City,Spectrum Football Ground,GU1 1UP,Surrey,51.249234,-0.562989
Horley Town,New Defence,RH6 8SP,Surrey,51.175545,-0.181329
Jersey Bulls,Springfield Stadium,JE2 4LF,Jersey,49.190926,-2.099364
Knaphill,Redding Way,GU21 2AY,Surrey,51.312097,-0.617034
Raynes Park Vale,Grand Drive,SW20 9DZ,Surrey,51.402947,-0.228824
Redhill,Kiln Brow,RH1 5AE,Surrey,51.219264,-0.169999
Sheerwater,Eastwood Leisure Centre,GU21 5RF,Surrey,51.336354,-0.521766
Tadley Calleva,Barlow's Park,RG26 3PX,Hampshire,51.356989,-1.13824
AFC Aldermaston,Stacatruc Stadium,RG19 4PA,Berkshire & Buckinghamshire,51.390835,-1.245381
Bagshot,Krooner Park,GU15 2QW,Surrey,51.325783,-0.756541
Bedfont,The Orchard,TW14 9QT,Middlesex,51.462582,-0.425883
Berks County,Hill Farm Lane,RG42 5NR,Berkshire & Buckinghamshire,51.444514,-0.77528
British Airways,The Orchard,TW14 9QT,Middlesex,51.462582,-0.425883
Brook House,Farm Park,UB4 8DD,Middlesex,51.534092,-0.414132
CB Hounslow United,Green Lane,TW4 6DH,Middlesex,51.46793,-0.405723
Cove,Oak Farm,GU14 8PF,Hampshire,51.299641,-0.765756
Eversley & California,Bob Schofield Way,RG27 0NS,Hampshire,51.348178,-0.857615
FC Deportivo Galicia,Bedfont Sports Recreation Ground,TW14 8JA,Surrey,51.455678,-0.436109
Hillingdon Borough,Middlesex Stadium,HA4 7SB,Middlesex,51.586843,-0.43991
Langley,Arbour Park,SL2 5AY,Berkshire & Buckinghamshire,51.518757,-0.589032
London Samurai Rovers,Rectory Meadow,TW13 6PN,Middlesex,51.433785,-0.393791
Molesey,Walton Road Ground,KT8 2JG,Surrey,51.402656,-0.367285
Penn & Tylers Green,French School Meadow,HP10 8LG,Berkshire & Buckinghamshire,51.636949,-0.69109
Rayners Lane,Tithe Farm Sports & Social Club,HA2 0XH,Middlesex,51.570908,-0.365052
Rising Ballers Kensington,Berkeley Fields,UB6 0NX,Middlesex,51.548463,-0.338894
Sandhurst Town,The SB Stadium,GU47 9BJ,Berkshire & Buckinghamshire,51.344538,-0.791498
Spartans Youth,Fenton Civil Engineering Stadium,HA6 1HR,Middlesex,51.494523,-0.324044
Westside,Wibbandune Stadium,SW20 0AA,Surrey,51.421079,-0.253638
Woodley United,The Rivermoor,RG30 6AY,Berkshire & Buckinghamshire,51.466166,-1.014669
Brantham Athletic,Brantham Leisure Centre,CO11 1RZ,Suffolk,51.958965,1.059466
Ely City,The Demcom Stadium,CB6 2SH,Cambridgeshire,52.410645,0.249223
Fakenham Town,Daly Group Stadium,NR21 8SW,Norfolk,52.839758,0.870236
Hadleigh United,The Millfield,IP7 5NF,Suffolk,52.039902,0.953936
Harleston Town,Harleston Recreation Ground,IP20 9DD,Norfolk,52.40017,1.294807
Haverhill Rovers,New Croft,CB9 0BW,Suffolk,52.086133,0.450684
Ipswich Wanderers,SEH Sports Centre,IP4 3NR,Suffolk,52.064047,1.204106
Kirkley & Pakefield,Walmer Road,NR33 7LE,Suffolk,52.459056,1.728624
Lakenheath,The Nest,IP27 9HN,Suffolk,52.417836,0.519921
Long Melford,Stoneylands,CO10 9JY,Suffolk,52.074733,0.712256
Mildenhall Town,Recreation Way,IP28 7HG,Suffolk,52.342507,0.514006
Mulbarton Wanderers,The Common,NR14 8AE,Norfolk,52.560452,1.237352
Newmarket Town,Tristel Stadium,CB8 8BG,Cambridgeshire,52.238297,0.410856
Norwich United,Plantation Park,NR13 4PL,Norfolk,52.63755,1.449801
Sheringham,Sheringham Recreation Ground,NR26 8WD,Norfolk,52.941834,1.197266
Soham Town Rangers,Julius Martin Lane,CB7 5EQ,Cambridgeshire,52.340023,0.331283
Thetford Town,Recreation Ground,IP24 1NB,Norfolk,52.424645,0.74166
Walsham-le-Willows,Morrish Stadium,IP31 3AH,Suffolk,52.305378,0.931931
Whitton United,King George V Playing Fields,IP1 6LE,Suffolk,52.084064,1.123203
Woodbridge Town,Homestyle UK Ground,IP12 4LS,Suffolk,52.086357,1.293261
AFC Sudbury Reserves,Mel Group Stadium,CO10 7HN,Suffolk,52.035333,0.713837
Cornard United,Blackhouse Lane,CO10 0NL,Suffolk,52.020654,0.754215
Debenham Leisure Centre,Friends Meadow,IP14 6BL,Suffolk,52.223798,1.171126
Diss Town,Brewers Green Lane,IP22 4QP,Norfolk,52.379685,1.097303
Downham Town,Memorial Field,PE38 9QE,Norfolk,52.607899,0.383728
FC Parson Drove,Main Road,PE13 4LA,Cambridgeshire,52.658522,0.034687
Framlingham Town,Framlingham Sports Club,IP13 9HS,Suffolk,52.225213,1.351807
Great Yarmouth Town,Wellesley Recreation Ground,NR30 1EY,Norfolk,52.613709,1.735609
Harwich & Parkeston,Royal Oak Ground,CO12 4AA,Essex,51.935288,1.272676
Haverhill Borough,New Croft,CB9 0BW,Suffolk,52.086133,0.450684
Heacham,Station Road Playing Fields,PE31 7HG,Norfolk,52.910906,0.494898
Holbeach United,Park Road,PE12 7EE,Lincolnshire,52.804623,0.015639
Holland,Dulwich Road,CO15 5HP,Essex,51.798744,1.178128
Huntingdon Town,Jubilee Park,PE28 2NR,Huntingdonshire,52.353935,-0.160487
Leiston Reserves,Victory Road,IP16 4DQ,Suffolk,52.20543,1.572783
Needham Market Reserves,Bloomfields,IP6 8DA,Suffolk,52.150863,1.046809
Norwich CBS,Football Development Centre,NR5 9ED,Norfolk,52.64201,1.221983
Swaffham Town,Shoemakers Lane,PE37 7NS,Norfolk,52.644856,0.684625
Whittlesey Athletic,Feldale,PE7 1YP,Cambridgeshire,52.562966,-0.109785
Barkingside,Cricklefield Stadium,IG1 1FY,Essex,51.561804,0.0916
Basildon Town,Rookery Hill,SS17 9LB,Essex,51.521493,0.463319
Benfleet,Park Lane,SS8 7PX,Essex,51.517636,0.615158
Burnham Ramblers,Leslie Field Stadium,CM0 8TE,Essex,51.63357,0.802981
Cannons Wood,Parkside,RM15 4PX,Essex,51.506833,0.263812
Coggeshall United,West Street,CO6 1NT,Essex,51.869613,0.672607
Enfield Borough,Maurice Rebak Stadium,N12 0PD,Middlesex,51.605919,-0.17276
Frenford,Frenford Club,IG1 3PS,Essex,51.571668,0.056497
Hackney Wick,Spa Road,CM8 1UN,London,51.799587,0.627673
May & Baker Eastbrook,Parkside,RM15 4PX,Essex,51.506833,0.263812
Newbury Forest,Oakside Stadium,IG6 1NB,Essex,51.585914,0.089055
NW London,Cotslandwick,AL2 1DW,Hertfordshire,51.72848,-0.30723
Park View,New River Sports Centre,N22 5QW,Middlesex,51.604659,-0.100032
Sporting Bengal United,Mile End Stadium,E3 4HL,London,51.519437,-0.031997
Stanway Pegasus,Stanway School,CO3 0QA,Essex,51.883148,0.839936
St. Margaretsbury,Recreation Ground,SG12 8EH,Hertfordshire,51.785822,-0.0023
Tower Hamlets,Mile End Stadium,E3 4HL,London,51.519437,-0.031997
Wivenhoe Town,MRC Stadium,CO7 9HX,Essex,51.871292,0.963949
Wormley Rovers,Wormley Sports Club,EN10 7QF,Hertfordshire,51.736356,-0.041056
Athletic Newham,Terence McMillan Stadium,E13 8SD,Essex,51.518258,0.032439
Barking,Mayesbrook Park Stadium,RM8 2JR,Essex,51.545368,0.113014
Buckhurst Hill,Roding Lane,IG9 6BJ,Essex,51.627538,0.05155
Clapton,Terence McMillan Stadium,E13 8SD,London,51.518258,0.032439
Enfield,A&D Advisors UK Stadium,CM23 5RG,Essex,51.873613,0.189166
FC Clacton,Rush Green Bowl,CO16 7BQ,Essex,51.791996,1.127496
Halstead Town,Millbank Stadium,CO9 1HR,Essex,51.946173,0.632964
Ilford,Cricklefield Stadium,IG1 1FY,Essex,51.561804,0.0916
Little Oakley,Little Oakley Memorial Club,CO12 5ED,Essex,51.922282,1.228439
Redbridge,Oakside Stadium,IG6 1NB,Essex,51.585914,0.089055
Romford,Mayesbrook Park Stadium,RM8 2JR,Essex,51.545368,0.113014
Saffron Walden Town,Catons Lane Stadium,CB10 2DU,Essex,52.027666,0.242107
Sawbridgeworth Town,Crofters,CM21 0DE,Hertfordshire,51.817482,0.147285
Southend Manor,Arena Stadium,SS1 2XB,Essex,51.534173,0.736993
Stansted,Hargrave Park,CM24 8BX,Essex,51.905085,0.194129
Stanway Rovers,The Hawthorns,CO3 0PG,Essex,51.886643,0.844067
Takeley,Sirona Medical Arena,CM22 6QA,Essex,51.866426,0.268069
West Essex,Matchday Centre,E17 4JP,Essex,51.596643,-0.009356
White Ensign,Burroughs Park,SS3 0HH,Essex,51.559694,0.79832
Woodford Town,Ashton Playing Fields,IG8 8AA,London,51.605688,0.050799
Bradford Town,Bradford on Avon Sports Club,BA15 1EX,Wiltshire,51.340235,-2.244462
Brimscombe & Thrupp,The Meadow,GL5 2SH,Gloucestershire,51.72208,-2.198557
Chipping Sodbury Town,The Ridings,BS37 6GA,Gloucestershire,51.543258,-2.395298
Corsham Town,Southbank,SN13 9HS,Wiltshire,51.430533,-2.182714
Cribbs,The Lawns,BS10 7TB,Gloucestershire,51.517953,-2.626969
Fairford Town,Cinder Lane,GL7 4AX,Gloucestershire,51.708749,-1.767931
Hereford Lads Club,County Ground,HR4 9NA,Herefordshire,52.063969,-2.723923
Hereford Pegasus,Old School Lane,HR1 1EX,Herefordshire,52.072239,-2.712311
Longlevens,Saw Mills End,GL4 3DG,Gloucestershire,51.864827,-2.211007
Lydney Town,Lydney Recreation Ground,GL15 5RU,Gloucestershire,51.725869,-2.531436
Malvern Town,HD Anywhere Community Stadium,WR14 2EQ,Worcestershire,52.116002,-2.304811
Mangotsfield United,Cossham Street,BS16 9EN,Gloucestershire,51.483106,-2.483792
Roman Glass St. George,Oaklands Park,BS32 4AG,Gloucestershire,51.548586,-2.571002
Royal Wootton Bassett Town,Gerard Buxton Sports Ground,SN4 8DS,Wiltshire,51.55729,-1.901881
Shrivenham,Barrington Park,SN6 8BJ,Berkshire & Buckinghamshire,51.599367,-1.659311
Thornbury Town,Mundy Playing Fields,BS35 1NA,Gloucestershire,51.607814,-2.532496
Tuffley Rovers,Glevum Park,GL2 5AL,Gloucestershire,51.839398,-2.261456
Wantage Town,Alfredian Park,OX12 8DW,Berkshire & Buckinghamshire,51.582615,-1.427797
Westfields,Allpay.Park,HR4 9NA,Herefordshire,52.063969,-2.723923
Worcester Raiders,Sixways Stadium,WR3 8ZE,Worcestershire,52.216092,-2.162505
Abingdon United,The Northcourt,OX14 1PL,Berkshire & Buckinghamshire,51.665888,-1.279077
Bourton Rovers,Rissington Road,GL54 2EB,Gloucestershire,51.880221,-1.74815
Calne Town,Bremhill View,SN11 9EE,Wiltshire,51.445783,-2.00998
Cheltenham Saracens,Big Local Stadium,GL51 9DY,Gloucestershire,51.910058,-2.095418
Cirencester Town Development,Corinium Stadium,GL7 1HS,Gloucestershire,51.716679,-1.94447
Clanfield 85,Radcot Road Ground,OX18 2ST,Oxfordshire,51.708689,-1.59076
FC Stratford,Arden Garages Stadium,CV37 7BZ,Birmingham,52.195786,-1.675183
Hartpury University,Hartpury College,GL19 3BE,Gloucestershire,51.904913,-2.310281
Kidlington Reserves,Yarnton Road,OX5 1AT,Oxfordshire,51.819329,-1.28798
Littleton,Five Acres,WR11 8QL,Worcestershire,52.122208,-1.864587
Long Crendon,Marsh Lane,OX3 0NQ,Berkshire & Buckinghamshire,51.770583,-1.230183
Malmesbury Victoria,Flying Monk Ground,SN16 9JS,Wiltshire,51.588551,-2.100312
Milton United,The Heights,OX14 4XB,Berkshire & Buckinghamshire,51.608496,-1.311253
Moreton Rangers,London Road,GL56 0HN,Gloucestershire,51.989957,-1.69243
Newent Town,Wildsmith Meadow,GL18 1HD,Gloucestershire,51.928988,-2.381652
Pershore Town,AIM Community Stadium,WR10 1QU,Worcestershire,52.11163,-2.073149
Shortwood United,Meadowbank,GL6 0SJ,Gloucestershire,51.692824,-2.236811
Southam United,Bobby Hancocks Park,CV47 0FD,Birmingham,52.245323,-1.399645
Stonehouse Town,Oldends Lane,GL10 2DG,Gloucestershire,51.752033,-2.289877
AFC Wulfrunians,CKW Stadium,WV3 8NA,Birmingham,52.575918,-2.191109
Atherstone Town,Sheepy Road,CV9 3AD,Birmingham,52.583704,-1.547243
Bewdley Town,Ribbesford Meadow,DY12 2TJ,Worcestershire,52.356496,-2.316312
Darlaston Town (1874),Paycare Ground,WS2 0EA,Birmingham,52.580655,-2.02444
Highgate United,The Coppice,B90 1PH,Birmingham,52.390098,-1.846945
Lichfield City,Trade Tyre Community Stadium,WS13 6AY,Staffordshire,52.694785,-1.816602
Lye Town,Sports Ground,DY9 7DH,Birmingham,52.457353,-2.121265
Market Drayton Town,Greenfields Sports Ground,TF9 3SL,Shropshire,52.908936,-2.496038
Racing Club Warwick,Church Farm Brewery Community Stadium,CV34 6JP,Birmingham,52.274864,-1.60231
Romulus,Vale Stadium,B35 7LQ,Birmingham,52.516771,-1.785527
Shifnal Town,Acoustafoam Stadium,TF11 8PD,Shropshire,52.672219,-2.36608
Stone Old Alleynians,Kings Park,ST3 7NT,Staffordshire,52.948574,-2.100774
Stourport Swifts,Walshes Meadow,DY13 0AA,Worcestershire,52.335398,-2.28383
Studley,The Beehive,B80 7BF,Birmingham,52.281564,-1.89144
Tividale,The Beeches,B69 1UL,Birmingham,52.510642,-2.053191
Uttoxeter Town,Oldfields Sports Club,ST14 7JX,Staffordshire,52.900582,-1.872703
Walsall Wood,BBG Stadium,WS9 9NP,Staffordshire,52.629621,-1.927755
Whitchurch Alport,KMJ Mortgages Stadium,SY13 1PG,Shropshire,52.97205,-2.671581
Wolverhampton Casuals,Brinsford Stadium,WV10 7PR,Staffordshire,52.644868,-2.123197
Worcester City,County Sports Ground,WR3 7SS,Worcestershire,52.223533,-2.212325
AFC Bridgnorth,Crown Meadow,WV16 4HS,Shropshire,52.540051,-2.427568
Ashby Ivanhoe,NFU Sports Ground,LE65 1TS,Leicestershire & Rutland,52.736931,-1.466339
Bilston Town,Queen Street Stadium,WV14 7EX,Staffordshire,52.566606,-2.067024
Chelmsley Town,Pack Meadow,B46 3JJ,Birmingham,52.48167,-1.697276
Coton Green,New Mill Lane,B78 3RX,Birmingham,52.61095,-1.699584
Coventry Copsewood,Copsewood Sports & Social Club,CV3 1JP,Birmingham,52.399805,-1.461756
Cradley Town,The Beeches,B63 2HB,Birmingham,52.451896,-2.086885
Droitwich Spa,King George V Playing Field,WR9 0RZ,Worcestershire,52.266429,-2.166123
Dudley Town,Guardian Warehousing Arena,WV13 3BB,Birmingham,52.592364,-2.063063
Haughmond,Sundorne Sports Village,SY1 4RQ,Shropshire,52.728047,-2.721619
Heath Hayes,Coppice Colliery Ground,WS12 3HH,Staffordshire,52.686897,-1.982116
Hinckley AFC,UK Flooring Direct Ground,LE9 8FQ,Leicestershire & Rutland,52.571541,-1.343795
Ingles,Thringstone Miners Social Centre,LE67 8LL,Leicestershire & Rutland,52.755205,-1.367206
Smethwick Rangers,The Beeches,B69 1UL,Birmingham,52.510642,-2.053191
Nuneaton Griff,Pingles Stadium,CV11 4LX,Birmingham,52.515414,-1.462741
OJM Black Country Rangers,Sports Ground,DY9 7DH,Birmingham,52.457353,-2.121265
Paget Rangers,Central Ground,B72 1NL,Birmingham,52.556086,-1.819407
Shawbury United,Ludlow Football Stadium,SY8 2BN,Shropshire,52.380278,-2.732082
Stapenhill,Maple Grove,DE15 9NN,Derbyshire,52.780379,-1.626874
Wednesfield,Cottage Ground,WV11 1ND,Birmingham,52.60595,-2.08665
Wolverhampton Sporting Community,Pride Park,WS6 6AA,Staffordshire,52.659552,-2.006684
AFC Liverpool,Marine Travel Arena,L23 3AS,Liverpool,53.48549,-3.032452
Ashton Athletic,Brocstedes Park,WN4 0NR,Lancashire,53.503884,-2.6698
Avro,Vestacare Stadium,OL8 3JH,Manchester,53.518372,-2.122907
Barnoldswick Town,Silentnight Beds Stadium,BB18 5LJ,West Riding,53.925546,-2.191626
Burscough,Community Ground,L40 0SD,Liverpool,53.604213,-2.843383
Bury AFC,Neuven Stadium,M26 3PE,Manchester,53.567047,-2.339598
Charnock Richard,Mossie Park,PR7 5LZ,Lancashire,53.633887,-2.672508
Congleton Town,Cheshire Silk 106.9 Stadium,CW12 4GA,Cheshire,53.161954,-2.221777
FC Isle of Man,The Bowl,IM2 1AD,Isle of Man,54.14954,-4.504362
Irlam,RG3 Digital Stadium,M44 6HR,Manchester,53.454699,-2.413618
Kendal Town,ST&B Accountants Stadium,LA9 7BL,Westmorland,54.321341,-2.733075
Litherland REMYCA,Litherland Sports Park,L21 7LA,Liverpool,53.477293,-2.981158
Longridge Town,Recycling Lives Ground,PR3 2NA,Lancashire,53.837681,-2.616747
Lower Breck,Anfield Sports & Community Centre,L6 0AG,Liverpool,53.425851,-2.945314
Northwich Victoria,Wincham Park,CW9 6DA,Cheshire,53.27225,-2.493112
Padiham,Ruby Civil Arena,BB12 8LE,Lancashire,53.80159,-2.321329
Prestwich Heys,Adie Moran Park,M45 6WG,Lancashire,53.542507,-2.273668
Squires Gate,Brian Addison Stadium,FY4 5DS,Lancashire,53.778438,-3.014621
Vauxhall Motors,vanEupen Arena,CH66 1NJ,Cheshire,53.297771,-2.942392
West Didsbury & Chorlton,Step Places Stadium,M21 8FE,Lancashire,53.434815,-2.282187
Winsford United,Barton Stadium,CW7 3AE,Cheshire,53.194265,-2.51217
Wythenshawe Town,Ericstan Park,M23 9LL,Manchester,53.399178,-2.29875
AFC Blackpool,Mechanics Ground,FY4 5DY,Lancashire,53.776588,-3.016504
Ashton Town,Profiles Park,WN4 8SL,Liverpool,53.492866,-2.62293
Atherton Laburnum Rovers,Crilly Park,M46 9XG,Lancashire,53.532099,-2.483471
Bacup Borough,Brian Boys West View Stadium,OL13 8EE,Lancashire,53.708363,-2.198194
Chadderton,Falcon Fire Stadium,OL9 0JT,Manchester,53.546787,-2.144631
Cleator Moor Celtic,McGrath Park,CA25 5HR,Cumberland,54.522574,-3.515819
Daisy Hill,New Sirs,BL5 2EB,Lancashire,53.533207,-2.519496
